1661788325.7193267 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-15-52-05-715870-ren-G3-3590-155
1661788325.7197142 [INFO] [launch]: Default logging verbosity is set to INFO
1661788326.3695986 [INFO] [gzserver-1]: process started with pid [157]
1661788326.3704240 [INFO] [gzclient-2]: process started with pid [159]
1661788326.3706899 [INFO] [robot_state_publisher-3]: process started with pid [161]
1661788326.3710680 [INFO] [rviz2-4]: process started with pid [163]
1661788326.3715847 [INFO] [map_server-5]: process started with pid [165]
1661788326.3720267 [INFO] [amcl-6]: process started with pid [167]
1661788326.3723304 [INFO] [lifecycle_manager-7]: process started with pid [169]
1661788326.3725164 [INFO] [controller_server-8]: process started with pid [171]
1661788326.3726919 [INFO] [planner_server-9]: process started with pid [173]
1661788326.3729277 [INFO] [recoveries_server-10]: process started with pid [175]
1661788326.3732376 [INFO] [bt_navigator-11]: process started with pid [177]
1661788326.3736658 [INFO] [waypoint_follower-12]: process started with pid [179]
1661788326.3739588 [INFO] [lifecycle_manager-13]: process started with pid [181]
1661788329.3938885 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1661788329.4288080 [INFO] [recoveries_server-10]: process has finished cleanly [pid 175]
1661788329.4295273 [INFO] [controller_server-8]: process has finished cleanly [pid 171]
1661788329.4302571 [INFO] [planner_server-9]: process has finished cleanly [pid 173]
1661788329.4312766 [INFO] [robot_state_publisher-3]: process has finished cleanly [pid 161]
1661788329.4571960 [ERROR] [gzclient-2]: process has died [pid 159, exit code -2, cmd 'gzclient'].
1661788329.4604266 [INFO] [lifecycle_manager-7]: process has finished cleanly [pid 169]
1661788329.4640851 [INFO] [map_server-5]: process has finished cleanly [pid 165]
1661788329.4679861 [INFO] [amcl-6]: process has finished cleanly [pid 167]
1661788329.4720387 [INFO] [waypoint_follower-12]: process has finished cleanly [pid 179]
1661788329.4787769 [INFO] [bt_navigator-11]: process has finished cleanly [pid 177]
1661788329.6716869 [ERROR] [lifecycle_manager-13]: process has died [pid 181, exit code -6, cmd '/home/ren/colcon_ws/install/nav2_lifecycle_manager/lib/nav2_lifecycle_manager/lifecycle_manager --ros-args -r __node:=lifecycle_manager_navigation --params-file /tmp/launch_params_y4a484uy --params-file /tmp/launch_params_l7u1axof --params-file /tmp/launch_params_r5dnwjvk'].
1661788329.7046287 [INFO] [rviz2-4]: process has finished cleanly [pid 163]
1661788330.5201311 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788331.1067750 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788331.7201459 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.2042522 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.7046351 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.7386677 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.7720838 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.8052120 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.8390119 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.8687789 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.9025207 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.9363427 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788332.9687982 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.0032210 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.0389049 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.0722167 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.1056042 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.1406929 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.1754436 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.2099216 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.2448423 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.2758374 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.3087292 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.3398447 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.3716691 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.4008765 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.4355397 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.4707267 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.5054579 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.5403786 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.5750978 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.6096604 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.6443505 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.6789486 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.7134326 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.7483180 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.7780192 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.8099561 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.8404956 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.8751707 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.9094772 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.9443467 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788333.9757981 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.0063803 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.0431693 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.0776129 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.1124871 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.1475234 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.1821470 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.2169321 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.2517333 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.2862544 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661788334.3166108 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
