1661789313.0912495 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-08-33-088879-ren-G3-3590-185
1661789313.0914586 [INFO] [launch]: Default logging verbosity is set to INFO
1661789313.4219894 [INFO] [gzserver-1]: process started with pid [187]
1661789313.4224119 [INFO] [gzclient-2]: process started with pid [189]
1661789313.4226828 [INFO] [robot_state_publisher-3]: process started with pid [191]
1661789313.4228165 [INFO] [rviz2-4]: process started with pid [193]
1661789313.4229395 [INFO] [map_server-5]: process started with pid [195]
1661789313.4230576 [INFO] [amcl-6]: process started with pid [197]
1661789313.4231830 [INFO] [lifecycle_manager-7]: process started with pid [199]
1661789313.4233055 [INFO] [controller_server-8]: process started with pid [201]
1661789313.4234262 [INFO] [planner_server-9]: process started with pid [203]
1661789313.4235470 [INFO] [recoveries_server-10]: process started with pid [205]
1661789313.4236531 [INFO] [bt_navigator-11]: process started with pid [207]
1661789313.4237421 [INFO] [waypoint_follower-12]: process started with pid [209]
1661789313.4238293 [INFO] [lifecycle_manager-13]: process started with pid [212]
1661789325.7916846 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1661789325.8319526 [INFO] [recoveries_server-10]: process has finished cleanly [pid 205]
1661789325.8322127 [INFO] [robot_state_publisher-3]: process has finished cleanly [pid 191]
1661789325.8327043 [INFO] [controller_server-8]: process has finished cleanly [pid 201]
1661789325.8329780 [INFO] [planner_server-9]: process has finished cleanly [pid 203]
1661789325.8342059 [ERROR] [gzclient-2]: process has died [pid 189, exit code -2, cmd 'gzclient'].
1661789325.8402810 [INFO] [map_server-5]: process has finished cleanly [pid 195]
1661789325.8404703 [INFO] [waypoint_follower-12]: process has finished cleanly [pid 209]
1661789325.8426485 [INFO] [amcl-6]: process has finished cleanly [pid 197]
1661789325.8428254 [INFO] [bt_navigator-11]: process has finished cleanly [pid 207]
1661789325.8430252 [INFO] [lifecycle_manager-7]: process has finished cleanly [pid 199]
1661789325.9144177 [ERROR] [lifecycle_manager-13]: process has died [pid 212, exit code -6, cmd '/home/ren/colcon_ws/install/nav2_lifecycle_manager/lib/nav2_lifecycle_manager/lifecycle_manager --ros-args -r __node:=lifecycle_manager_navigation --params-file /tmp/launch_params_0eqecla8 --params-file /tmp/launch_params_gtwwaf6r --params-file /tmp/launch_params_ebhg_hqg'].
1661789325.9234207 [ERROR] [rviz2-4]: process has died [pid 193, exit code -6, cmd '/opt/ros/foxy/lib/rviz2/rviz2 -d /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/rviz/nav2_default_view.rviz --ros-args -r __node:=rviz2'].
1661789326.4200203 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789326.9837978 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789327.4054973 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789327.9056072 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789327.9387512 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789327.9733696 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.0094881 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.0435987 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.0780096 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.1121740 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.1459301 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.1797330 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.2131009 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.2466102 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.2819917 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.3133419 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.3467827 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.3805702 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.4160428 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.4493849 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.4800358 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.5114043 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.5418181 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.5713024 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.6018643 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.6319697 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.6627412 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.6938486 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.7233176 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.7556438 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.7874560 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.8184729 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.8475926 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.8785577 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.9088559 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.9393857 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.9698398 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789328.9996314 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.0297589 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.0596838 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.0908012 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.1247866 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.1517353 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.1822999 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.2125099 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.2427497 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.2735934 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.3048527 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.3364756 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789329.3679452 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
