1661789337.5515206 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-08-57-549195-ren-G3-3590-540
1661789337.5517187 [INFO] [launch]: Default logging verbosity is set to INFO
1661789337.8797293 [INFO] [gzserver-1]: process started with pid [542]
1661789337.8801143 [INFO] [gzclient-2]: process started with pid [544]
1661789337.8802857 [INFO] [robot_state_publisher-3]: process started with pid [546]
1661789337.8804677 [INFO] [rviz2-4]: process started with pid [548]
1661789337.8806319 [INFO] [map_server-5]: process started with pid [550]
1661789337.8807962 [INFO] [amcl-6]: process started with pid [552]
1661789337.8809533 [INFO] [lifecycle_manager-7]: process started with pid [554]
1661789337.8811088 [INFO] [controller_server-8]: process started with pid [556]
1661789337.8812661 [INFO] [planner_server-9]: process started with pid [558]
1661789337.8814168 [INFO] [recoveries_server-10]: process started with pid [560]
1661789337.8815634 [INFO] [bt_navigator-11]: process started with pid [562]
1661789337.8817074 [INFO] [waypoint_follower-12]: process started with pid [564]
1661789337.8818555 [INFO] [lifecycle_manager-13]: process started with pid [580]
1661789357.5841129 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1661789357.6121070 [INFO] [recoveries_server-10]: process has finished cleanly [pid 560]
1661789357.6124358 [INFO] [controller_server-8]: process has finished cleanly [pid 556]
1661789357.6183929 [INFO] [planner_server-9]: process has finished cleanly [pid 558]
1661789357.6239653 [INFO] [map_server-5]: process has finished cleanly [pid 550]
1661789357.6242206 [INFO] [lifecycle_manager-7]: process has finished cleanly [pid 554]
1661789357.6247892 [INFO] [waypoint_follower-12]: process has finished cleanly [pid 564]
1661789357.6277194 [ERROR] [gzclient-2]: process has died [pid 544, exit code -2, cmd 'gzclient'].
1661789357.6283522 [INFO] [amcl-6]: process has finished cleanly [pid 552]
1661789357.6292293 [INFO] [robot_state_publisher-3]: process has finished cleanly [pid 546]
1661789357.6333728 [INFO] [bt_navigator-11]: process has finished cleanly [pid 562]
1661789357.7024298 [ERROR] [lifecycle_manager-13]: process has died [pid 580, exit code -6, cmd '/home/ren/colcon_ws/install/nav2_lifecycle_manager/lib/nav2_lifecycle_manager/lifecycle_manager --ros-args -r __node:=lifecycle_manager_navigation --params-file /tmp/launch_params_wuvl7o_7 --params-file /tmp/launch_params_yhd607mu --params-file /tmp/launch_params_cyau_xbb'].
1661789357.7123842 [ERROR] [rviz2-4]: process has died [pid 548, exit code -6, cmd '/opt/ros/foxy/lib/rviz2/rviz2 -d /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/rviz/nav2_default_view.rviz --ros-args -r __node:=rviz2'].
1661789358.1067762 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789358.7253630 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789359.1880372 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789359.6016698 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.1009879 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.1330223 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.1643808 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.1927936 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.2231734 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.2536380 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.2844458 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.3167598 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.3503845 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.3829827 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.4141870 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.4475727 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.4795330 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.5109003 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.5423477 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.5716772 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.6025205 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.6331391 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.6634200 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.6934776 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.7238874 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.7546597 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.7853429 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.8164434 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789360.8460369 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
