1661789379.2274191 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-09-39-225112-ren-G3-3590-1009
1661789379.2276318 [INFO] [launch]: Default logging verbosity is set to INFO
1661789379.5672281 [INFO] [gzserver-1]: process started with pid [1011]
1661789379.5676539 [INFO] [gzclient-2]: process started with pid [1013]
1661789379.5678132 [INFO] [robot_state_publisher-3]: process started with pid [1015]
1661789379.5679500 [INFO] [rviz2-4]: process started with pid [1017]
1661789379.5680840 [INFO] [map_server-5]: process started with pid [1019]
1661789379.5682781 [INFO] [amcl-6]: process started with pid [1021]
1661789379.5684032 [INFO] [lifecycle_manager-7]: process started with pid [1023]
1661789379.5685842 [INFO] [controller_server-8]: process started with pid [1025]
1661789379.5687616 [INFO] [planner_server-9]: process started with pid [1027]
1661789379.5689399 [INFO] [recoveries_server-10]: process started with pid [1029]
1661789379.5691140 [INFO] [bt_navigator-11]: process started with pid [1031]
1661789379.5692894 [INFO] [waypoint_follower-12]: process started with pid [1033]
1661789379.5694549 [INFO] [lifecycle_manager-13]: process started with pid [1044]
1661789561.3625593 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1661789561.3776772 [INFO] [planner_server-9]: process has finished cleanly [pid 1027]
1661789561.3860009 [INFO] [map_server-5]: process has finished cleanly [pid 1019]
1661789561.3871856 [INFO] [recoveries_server-10]: process has finished cleanly [pid 1029]
1661789561.3887091 [INFO] [robot_state_publisher-3]: process has finished cleanly [pid 1015]
1661789561.3889792 [INFO] [controller_server-8]: process has finished cleanly [pid 1025]
1661789561.3925579 [INFO] [lifecycle_manager-7]: process has finished cleanly [pid 1023]
1661789561.3929024 [INFO] [waypoint_follower-12]: process has finished cleanly [pid 1033]
1661789561.3982511 [INFO] [amcl-6]: process has finished cleanly [pid 1021]
1661789561.4056263 [INFO] [bt_navigator-11]: process has finished cleanly [pid 1031]
1661789561.4465992 [INFO] [gzserver-1]: process has finished cleanly [pid 1011]
1661789561.4708903 [ERROR] [lifecycle_manager-13]: process has died [pid 1044, exit code -6, cmd '/home/ren/colcon_ws/install/nav2_lifecycle_manager/lib/nav2_lifecycle_manager/lifecycle_manager --ros-args -r __node:=lifecycle_manager_navigation --params-file /tmp/launch_params_ruj542tx --params-file /tmp/launch_params_9sc_7zn_ --params-file /tmp/launch_params_bpa3kla9'].
1661789561.4863718 [ERROR] [rviz2-4]: process has died [pid 1017, exit code -6, cmd '/opt/ros/foxy/lib/rviz2/rviz2 -d /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/rviz/nav2_default_view.rviz --ros-args -r __node:=rviz2'].
1661789561.8154280 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789562.1275399 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789562.3908474 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789562.6739061 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.1744070 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.2063215 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.2364936 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.2647579 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.2954743 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.3265808 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.3572781 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.3902106 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.4200287 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.4500804 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.4800434 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.5108855 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.5421920 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.5729027 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.6047955 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.6333489 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.6635864 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.6942444 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.7246497 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.7556677 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.7859013 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.8162744 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.8479142 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.8798862 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789563.9109008 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
