1661789570.0043206 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-12-50-002023-ren-G3-3590-1971
1661789570.0045207 [INFO] [launch]: Default logging verbosity is set to INFO
1661789570.3278513 [INFO] [gzserver-1]: process started with pid [1973]
1661789570.3283787 [INFO] [gzclient-2]: process started with pid [1975]
1661789570.3286109 [INFO] [robot_state_publisher-3]: process started with pid [1977]
1661789570.3288136 [INFO] [rviz2-4]: process started with pid [1979]
1661789570.3290203 [INFO] [map_server-5]: process started with pid [1981]
1661789570.3292146 [INFO] [amcl-6]: process started with pid [1983]
1661789570.3294103 [INFO] [lifecycle_manager-7]: process started with pid [1985]
1661789570.3295758 [INFO] [controller_server-8]: process started with pid [1987]
1661789570.3298035 [INFO] [planner_server-9]: process started with pid [1989]
1661789570.3299768 [INFO] [recoveries_server-10]: process started with pid [1991]
1661789570.3301458 [INFO] [bt_navigator-11]: process started with pid [1993]
1661789570.3303077 [INFO] [waypoint_follower-12]: process started with pid [1995]
1661789570.3304713 [INFO] [lifecycle_manager-13]: process started with pid [2032]
1661789627.2070742 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1661789627.2358201 [INFO] [recoveries_server-10]: process has finished cleanly [pid 1991]
1661789627.2361495 [INFO] [planner_server-9]: process has finished cleanly [pid 1989]
1661789627.2364862 [INFO] [controller_server-8]: process has finished cleanly [pid 1987]
1661789627.2403443 [INFO] [robot_state_publisher-3]: process has finished cleanly [pid 1977]
1661789627.2426291 [INFO] [map_server-5]: process has finished cleanly [pid 1981]
1661789627.2461803 [ERROR] [gzclient-2]: process has died [pid 1975, exit code -2, cmd 'gzclient'].
1661789627.2463968 [INFO] [amcl-6]: process has finished cleanly [pid 1983]
1661789627.2492557 [INFO] [lifecycle_manager-7]: process has finished cleanly [pid 1985]
1661789627.2495058 [INFO] [waypoint_follower-12]: process has finished cleanly [pid 1995]
1661789627.2572825 [INFO] [bt_navigator-11]: process has finished cleanly [pid 1993]
1661789627.3307562 [ERROR] [lifecycle_manager-13]: process has died [pid 2032, exit code -6, cmd '/home/ren/colcon_ws/install/nav2_lifecycle_manager/lib/nav2_lifecycle_manager/lifecycle_manager --ros-args -r __node:=lifecycle_manager_navigation --params-file /tmp/launch_params_xbg94a_f --params-file /tmp/launch_params_jl96y1h3 --params-file /tmp/launch_params_qishsucm'].
1661789627.3412960 [ERROR] [rviz2-4]: process has died [pid 1979, exit code -6, cmd '/opt/ros/foxy/lib/rviz2/rviz2 -d /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/rviz/nav2_default_view.rviz --ros-args -r __node:=rviz2'].
1661789627.7495399 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789628.2873244 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789628.7004216 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.2002637 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.2330117 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.2658098 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.2992275 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.3277373 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.3578827 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.3885176 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.4193032 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.4497883 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.4796314 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.5098050 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.5418999 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.5730481 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.6043134 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.6336637 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.6645739 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.6940727 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.7238426 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.7543828 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.7866607 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.8163054 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.8467541 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.8789761 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.9102738 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.9385927 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.9691935 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789629.9996061 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
